week,commits_total,commits_with_agent_signal,agent_rate,amp_count,amp_pct,claude_code_count,claude_code_pct,codex_count,codex_pct,copilot_count,copilot_pct,cursor_count,cursor_pct,gastown_count,gastown_pct,gemini_count,gemini_pct,opencode_count,opencode_pct,pi_count,pi_pct,qwen_code_count,qwen_code_pct,windsurf_count,windsurf_pct,multi_agent_count,multi_agent_pct,no_signal_count,no_signal_pct
2026-01-12,4083,2562,62.7,0,0.0,2438,59.7,32,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,92,2.3,1521,37.3
2026-01-19,2610,2209,84.6,0,0.0,2089,80.0,9,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,111,4.3,401,15.4
2026-01-26,5236,4531,86.5,0,0.0,4502,86.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.5,705,13.5
2026-02-02,5317,3982,74.9,0,0.0,3948,74.3,9,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.5,1335,25.1
2026-02-09,6532,5292,81.0,0,0.0,5150,78.8,19,0.3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,122,1.9,1240,19.0
2026-02-16,3683,3457,93.9,0,0.0,3426,93.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,0.7,226,6.1
2026-02-23,2576,2536,98.4,0,0.0,2476,96.1,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,59,2.3,40,1.6
2026-03-02,3004,2872,95.6,0,0.0,2850,94.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,0.7,132,4.4
2026-03-09,3057,2942,96.2,0,0.0,2924,95.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.6,115,3.8
2026-03-16,4882,4696,96.2,0,0.0,4676,95.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.4,186,3.8
2026-03-23,2363,2182,92.3,0,0.0,2154,91.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,1.2,181,7.7
2026-03-30,1313,1255,95.6,0,0.0,1230,93.7,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,1.8,58,4.4
2026-04-06,1993,1356,68.0,0,0.0,1331,66.8,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,1.1,637,32.0
2026-04-13,4167,2995,71.9,0,0.0,2973,71.3,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.4,1172,28.1
2026-04-20,8234,3605,43.8,0,0.0,3568,43.3,13,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.3,4629,56.2
2026-04-27,3875,1891,48.8,0,0.0,1870,48.3,8,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3,1984,51.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6
max,8234.0,5292.0,98.4,0.0,0.0,5150.0,96.1,32.0,2.5,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,9.3,4629.0,100.0
mean,2462.8,1849.9,72.9,0.0,0.0,1818.0,70.6,5.1,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,1.8,612.8,27.1
median,2363.0,1891.0,80.3,0.0,0.0,1870.0,74.3,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.1,226.0,19.7
stddev,2148.1,1584.8,22.8,0.0,0.0,1566.8,22.5,6.8,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,2.2,927.7,22.8
